Config,App,Shaders,TA/TD,TCP,TCC,CB,DB,MC,PA,Misc
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Trex_dyson,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_25x14,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_25x14x4,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_38x21,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_heaven_dx11_19x10,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_heaven_dx11_19x10x4,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_25x14,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_25x14x4a,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_38x21,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Valley_19x10_Ultra,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Valley_19x10x4_Ultra,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Valley_25x16_Ultra,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Valley_25x16x8_Ultra,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,watchdogs_1920x1080x32,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,watch_dogs_1920x1080x32_high,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,watchdogs_ultra_25x14,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,watchdogs_ultra_25x14x4,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,watchdogs_ultra_38x21,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,witcher3_1-07_ultra_HairworksOff_r1920x1080,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,witcher3_1-07_ultra_HairworksOff_r2560x1440,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,witcher3_1-07_ultra_HairworksOff_r3840x2160,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,witcher3_1-04_ultra_HairworksOff_dx11_25x14,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,witcher3_1-04_ultra_HairworksOn_dx11_25x14,0,0,0,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,witcher3_1-04_ultra_HairworksOn_dx11_38x21,0,0,0,0,0,0,0,0,0
