Config, App, Score, Cycles, Mem Efficiency (%), 1# bottleneck, 2# bottleneck, 3# bottleneck, 4# bottleneck, 5# bottleneck, #1 IF Improv %[activity],#2 IF Improv %[activity],#3 IF Improv %[activity],#4 IF Improv %[activity],#5 IF Improv %[activity], Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Trex_dyson,1,98953799,46.2,MCS (43.9%),PosBuf (22.8%),ALU (9.1%),DB (6.9%),CB (6.7%),MCS (7.1%),PosBuf (3.8%),ALU (2.7%),DB (0.2%),CB (0.1%),276497.7,270874.5,2279765.56,98.95,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_25x14,1,46623890172,71,MCS (41.7%),TCP (35.2%),Primitive (12%),PS GPR (4.6%),ALU (1.6%),MCS (17.1%),TCP (1.1%),Primitive (3.1%),PS GPR (0.6%),ALU (0.2%),29.16,22.97,47.48,46623.89,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_25x14x4,1,53722275711,69.4,MCS (43%),TCP (34%),Primitive (9.1%),PS GPR (3.9%),CB (3.1%),MCS (17.1%),TCP (1.5%),Primitive (2.5%),PS GPR (0.6%),CB (1.1%),25.32,19.56,40.8,53722.27,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_38x21,1,74711973933,69.7,TCP (48.9%),MCS (36.2%),PS GPR (4.1%),CB (2.7%),ALU (2.3%),TCP (0.6%),MCS (16.6%),PS GPR (0.7%),CB (0.1%),ALU (0.2%),19.21,11.72,32.82,74711.97,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_heaven_dx11_19x10,1,6544127690,67.4,MCS (37%),TCP (18%),ALU (10.9%),Primitive (9.9%),VS Wave (7.6%),MCS (10.2%),TCP (0.8%),ALU (1.7%),Primitive (2%),VS Wave (4.3%),123.84,95.85,150.09,6544.13,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_heaven_dx11_19x10x4,1,9121082510,64.8,MCS (48.9%),TCP (11.4%),CB (8.9%),ALU (8.6%),Primitive (6.3%),MCS (18.2%),TCP (0.5%),CB (1.9%),ALU (1.1%),Primitive (1.3%),93.46,64.65,116.33,9121.08,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_25x14,1,14829874219,69.4,TCP (47.6%),MCS (19.3%),PS GPR (12.6%),CB (8%),DB (2.9%),TCP (3%),MCS (6.7%),PS GPR (1.1%),CB (0.4%),DB (0.4%),50.28,38.22,80.63,14829.87,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_25x14x4a,1,8039294067,66.7,TCP (47%),MCS (29.3%),SX-DB (7.4%),CB (4.5%),PS GPR (4.1%),TCP (3%),MCS (9.5%),SX-DB (1.4%),CB (1.6%),PS GPR (0.7%),40.85,22.3,3939.98,8039.29,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_38x21,1,36357360825,72.5,TCP (50%),MCS (15.1%),PS GPR (13.7%),CB (7.7%),TA (4.7%),TCP (2.2%),MCS (5.1%),PS GPR (1.3%),CB (0.4%),TA (0%),19.3,14.3,30.37,36357.36,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Valley_19x10_Ultra,1,7969551686,67.8,TCP (29.7%),VS Wave (17.8%),MCS (13.5%),PS GPR (12.7%),PS Wave (7.7%),TCP (2.2%),VS Wave (9.4%),MCS (3.9%),PS GPR (1.5%),PS Wave (3.6%),36.79,20.1,7751.95,7969.55,0,1000,1000,0,0,0,0,0,0
