Config, App, Score, Cycles, % Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Trex_dyson,1,98953799,5.91%,0%,3.22%,0%,6.69%,6.9%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,43.95%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.8%,22.82%,0%,0%,0%,0%,0.55%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,9.14%,0%,0%,0%,0%,0%,0%,0%,276497.7,270874.5,2279765.56,98.95,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_25x14,1,46623890172,0.09%,0%,11.98%,0%,1.45%,0.61%,0%,0%,0%,0%,35.24%,0.25%,0.1%,0%,0%,41.68%,0%,0%,0%,0%,0%,0.22%,0%,0.01%,0%,0.34%,0.01%,0.77%,0%,0%,4.56%,0.32%,0%,0%,0.21%,0.2%,0.03%,0%,0%,0%,0%,0%,0%,1.59%,0%,0%,0%,0.33%,0%,0%,0%,29.16,22.97,47.48,46623.89,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_25x14x4,1,53722275711,0.07%,0%,9.07%,0%,3.12%,0.46%,0%,0%,0%,0%,33.95%,0.22%,0.07%,0%,0%,43%,0%,0%,0%,0%,0%,0.19%,0%,0.01%,0%,0.3%,0.01%,0.37%,0%,0%,3.91%,0.26%,0%,0%,0.16%,0.14%,0.13%,0%,0%,0%,0%,0%,0%,1.19%,0%,0%,0%,0.77%,2.57%,0%,0%,25.32,19.56,40.8,53722.27,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_extreme_38x21,1,74711973933,0.04%,0%,2.3%,0%,2.74%,0.35%,0%,0%,0.04%,0%,48.87%,0.87%,0.13%,0%,0%,36.21%,0%,0%,0%,0%,0%,0.07%,0%,0.01%,0%,0.2%,0.02%,0.11%,0%,0%,4.05%,0.18%,0%,0%,0.05%,0.02%,0.01%,0%,0%,0%,0%,0%,0%,2.32%,0%,0%,0%,1.3%,0.01%,0.13%,0%,19.21,11.72,32.82,74711.97,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_heaven_dx11_19x10,1,6544127690,1.54%,0.9%,9.89%,0.06%,2.15%,3.23%,0%,0%,0%,0%,17.98%,0.73%,0.01%,0%,0%,37%,0%,0%,0%,0%,0%,1.83%,0%,0.19%,0%,7.6%,0.04%,0.57%,0%,0%,0%,1.33%,0%,0%,2.47%,0.43%,0%,0.04%,0.03%,0%,0%,0%,0%,10.94%,0%,0%,0%,0.52%,0.5%,0%,0%,123.84,95.85,150.09,6544.13,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_heaven_dx11_19x10x4,1,9121082510,1.04%,0%,6.34%,0.05%,8.87%,2.13%,0%,0%,0%,0%,11.36%,0.37%,0%,0%,0%,48.85%,0%,0%,0%,0%,0%,1.26%,0%,0.15%,0%,4.85%,0.02%,0.29%,0%,0%,0.93%,0.77%,0%,0%,1.65%,0.06%,0%,0.03%,0.02%,0%,0%,0%,0%,8.58%,0%,0%,0%,2.04%,0.35%,0%,0%,93.46,64.65,116.33,9121.08,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_25x14,1,14829874219,0.24%,0.02%,0.89%,0%,8.03%,2.93%,0%,0%,0.14%,0%,47.63%,0.49%,0.11%,0%,0%,19.27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.05%,0.03%,0.06%,0%,0%,12.63%,0.3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.77%,0%,0%,0%,2.54%,2.88%,0%,0%,50.28,38.22,80.63,14829.87,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_25x14x4a,1,8039294067,0.16%,0%,0.73%,0%,4.49%,1.87%,0%,0%,0.07%,0%,47.03%,0.31%,0.04%,0%,0%,29.34%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.67%,0.01%,0.03%,0%,0%,4.06%,0.2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.13%,0%,0%,0%,7.45%,3.39%,0%,0%,40.85,22.3,3939.98,8039.29,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,unigine_valley_38x21,1,36357360825,0.1%,0.04%,0.67%,0%,7.73%,1.36%,0%,0%,4.66%,0%,49.98%,0.91%,0.57%,0%,0%,15.05%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.37%,0.01%,0.02%,0%,0%,13.66%,0.09%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.83%,0%,0%,0%,2.81%,1.13%,0.01%,0%,19.3,14.3,30.37,36357.36,0,1000,1000,0,0,0,0,0,0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,Valley_19x10_Ultra,1,7969551686,0%,0.01%,1.22%,0%,6.24%,3.18%,0%,0%,0%,0%,29.72%,0.45%,0.16%,0%,0%,13.47%,0%,0%,0%,0%,0%,0%,0%,0%,0%,17.78%,0.56%,1.03%,0%,0%,12.71%,7.74%,0%,0%,0%,0.02%,0.18%,0%,0%,0%,0%,0%,0%,0.51%,0%,0%,0%,1.68%,3.32%,0%,0%,36.79,20.1,7751.95,7969.55,0,1000,1000,0,0,0,0,0,0
