File,Date Created,Date Modified,Size,Weight
E:\SlirpiNextV2_TongaInput\Trex_dyson\Trex_dyson_dcc_on_Perf.csv.gz,7/12/2016 6:23:17 AM,7/6/2016 6:39:27 AM,10328850,100
E:\SlirpiNextV2_TongaInput\unigine_extreme_25x14\unigine_extreme_25x14_dcc_on_Perf.csv.gz,1/25/2016 5:23:50 AM,1/22/2016 12:00:28 PM,2117819989,100
E:\SlirpiNextV2_TongaInput\unigine_extreme_25x14x4\unigine_extreme_25x14x4_dcc_on_Perf.csv.gz,1/25/2016 5:25:54 AM,1/22/2016 12:42:14 PM,2221964017,100
E:\SlirpiNextV2_TongaInput\unigine_extreme_38x21\unigine_extreme_38x21_dcc_on_Perf.csv.gz,1/25/2016 5:27:59 AM,1/22/2016 1:24:00 PM,2096640443,100
E:\SlirpiNextV2_TongaInput\unigine_heaven_dx11_19x10\unigine_heaven_dx11_19x10_dcc_on_Perf.csv.gz,2/22/2016 2:59:12 PM,2/4/2016 12:21:12 PM,1709007593,100
E:\SlirpiNextV2_TongaInput\unigine_heaven_dx11_19x10x4\unigine_heaven_dx11_19x10x4_dcc_on_Perf.csv.gz,2/22/2016 3:12:28 PM,2/4/2016 1:18:57 PM,1779574684,100
E:\SlirpiNextV2_TongaInput\unigine_valley_25x14\unigine_valley_25x14_dcc_on_Perf.csv.gz,1/25/2016 5:29:28 AM,1/22/2016 1:42:26 PM,978860813,100
E:\SlirpiNextV2_TongaInput\unigine_valley_25x14x4a\unigine_valley_25x14x4a_dcc_on_Perf.csv.gz,1/21/2016 6:16:34 AM,1/22/2016 1:49:35 PM,373770502,100
E:\SlirpiNextV2_TongaInput\unigine_valley_38x21\unigine_valley_38x21_dcc_on_Perf.csv.gz,1/25/2016 5:30:48 AM,1/23/2016 6:30:49 AM,1033235872,100
E:\SlirpiNextV2_TongaInput\Valley_19x10_Ultra\Valley_19x10_Ultra_dcc_on_Perf.csv.gz,1/21/2016 6:19:10 AM,1/6/2016 4:41:17 AM,707212750,100
E:\SlirpiNextV2_TongaInput\Valley_19x10x4_Ultra\Valley_19x10x4_Ultra_dcc_on_Perf.csv.gz,1/21/2016 6:20:19 AM,1/6/2016 4:53:51 AM,712505351,100
E:\SlirpiNextV2_TongaInput\Valley_25x16_Ultra\Valley_25x16_Ultra_dcc_on_Perf.csv.gz,1/21/2016 6:21:30 AM,1/6/2016 5:06:23 AM,721229586,100
E:\SlirpiNextV2_TongaInput\Valley_25x16x8_Ultra\Valley_25x16x8_Ultra_dcc_on_Perf.csv.gz,1/21/2016 6:22:42 AM,1/6/2016 5:19:10 AM,753924913,100
E:\SlirpiNextV2_TongaInput\watchdogs_1920x1080x32\watchdogs_1920x1080x32_dcc_on_Perf.csv.gz,4/12/2016 12:00:48 PM,4/12/2016 3:13:16 AM,1554035400,100
E:\SlirpiNextV2_TongaInput\watch_dogs_1920x1080x32_high\watch_dogs_1920x1080x32_high_dcc_on_Perf.csv.gz,3/17/2016 6:08:24 AM,3/10/2016 6:13:42 AM,1185469081,100
E:\SlirpiNextV2_TongaInput\watchdogs_ultra_25x14\watchdogs_ultra_25x14_dcc_on_Perf.csv.gz,2/22/2016 3:24:24 PM,3/10/2016 8:15:37 AM,1363724836,100
E:\SlirpiNextV2_TongaInput\watchdogs_ultra_25x14x4\watchdogs_ultra_25x14x4_dcc_on_Perf.csv.gz,1/21/2016 6:52:37 AM,1/6/2016 6:58:01 AM,1671705093,100
E:\SlirpiNextV2_TongaInput\watchdogs_ultra_38x21\watchdogs_ultra_38x21_dcc_on_Perf.csv.gz,1/21/2016 6:27:15 AM,1/6/2016 6:26:03 AM,1441831000,100
E:\SlirpiNextV2_TongaInput\witcher3_1-07_ultra_HairworksOff_r1920x1080\witcher3_1-07_ultra_HairworksOff_r1920x1080_dcc_on_Perf.csv.gz,2/22/2016 3:30:46 PM,1/26/2016 11:39:40 AM,299429758,100
E:\SlirpiNextV2_TongaInput\witcher3_1-07_ultra_HairworksOff_r2560x1440\witcher3_1-07_ultra_HairworksOff_r2560x1440_dcc_on_Perf.csv.gz,2/22/2016 3:32:59 PM,1/26/2016 11:47:45 AM,282216402,100
E:\SlirpiNextV2_TongaInput\witcher3_1-07_ultra_HairworksOff_r3840x2160\witcher3_1-07_ultra_HairworksOff_r3840x2160_dcc_on_Perf.csv.gz,2/22/2016 3:35:17 PM,1/27/2016 4:41:53 AM,316141074,100
E:\SlirpiNextV2_TongaInput\witcher3_1-04_ultra_HairworksOff_dx11_25x14\witcher3_1-04_ultra_HairworksOff_dx11_25x14_dcc_on_Perf.csv.gz,1/21/2016 6:28:49 AM,1/23/2016 6:39:10 AM,425489008,100
E:\SlirpiNextV2_TongaInput\witcher3_1-04_ultra_HairworksOn_dx11_25x14\witcher3_1-04_ultra_HairworksOn_dx11_25x14_dcc_on_Perf.csv.gz,1/21/2016 6:29:31 AM,1/6/2016 5:57:59 AM,409635318,100
E:\SlirpiNextV2_TongaInput\witcher3_1-04_ultra_HairworksOn_dx11_38x21\witcher3_1-04_ultra_HairworksOn_dx11_38x21_dcc_on_Perf.csv.gz,1/21/2016 4:47:41 AM,1/6/2016 5:50:51 AM,403324235,100
