Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,408665419485.506,70,MCS (26.5%),TCP (23.5%),ALU (14.8%),PS GPR (6.5%),VS Wave (5.2%),MCS (8.1%) [92.2],TCP (1.3%) [100.0],ALU (3.9%) [57.2],PS GPR (0.9%) [NaN],VS Wave (2.8%) [12.8],36.35,12.25,653716.95,408665.41,Trex_dyson,Trex_dyson
 
Config, Score for 1920x1080 Resolution, Min Score, Max Score, Cycles,Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,50434964669.3672,65.9,MCS (28.3%),TCP (15.7%),ALU (14%),VS Wave (9.2%),CB (4.9%),MCS (7.8%) [100.0],TCP (1%) [87.5],ALU (3.5%) [64.7],VS Wave (5%) [34.6],CB (0.6%) [42.8],89.88,30.89,13961.72,50434.96,Trex_dyson,Trex_dyson
 
Config, Score for 2560x1440 Resolution, Min Score, Max Score, Cycles,Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,170784507062.464,70.1,MCS (27.3%),TCP (25.2%),ALU (15.1%),PS GPR (7.2%),Primitive (5.5%),MCS (8.9%) [100.0],TCP (1.5%) [98.7],ALU (4%) [56.3],PS GPR (1%) [NaN],Primitive (1.5%) [20.2],35.2,17.96,43070.53,170784.5,unigine_extreme_25x14,unigine_extreme_25x14
 
Config, Score for 3840x2160 Resolution, Min Score, Max Score, Cycles,Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,152174455582.114,71.3,TCP (27.3%),MCS (23.8%),ALU (21.5%),PS GPR (8%),CB (4.4%),TCP (1.2%) [100.0],MCS (7.9%) [79.1],ALU (6%) [56.2],PS GPR (1.1%) [NaN],CB (0.2%) [31.8],21.28,12.25,653716.95,152174.45,unigine_extreme_38x21,unigine_extreme_38x21
 
Config, Score for 2560x1600 Resolution, Min Score, Max Score, Cycles,Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1,1,35271492171.5608,69.4,TCP (36.8%),MCS (22.6%),PS GPR (8.9%),VS Wave (7.1%),CB (6.1%),TCP (1.8%) [100.0],MCS (5.4%) [84.4],PS GPR (1.1%) [NaN],VS Wave (3.6%) [21.7],CB (1.1%) [47.3],30.42,17.16,7110.24,35271.49,Valley_25x16_Ultra,Valley_25x16_Ultra
