Config,App,Shaders,TA/TD,TCP,TCC,CB,DB,MC,PA,Misc
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,3dm11_32bit_12x7_dx11_gt3_perf,0,0,0,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Grid2_38x21,0,0,0,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Rome2_19x10_AA_Extreme,0,0,0,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Rome2_25x14_AA_Extreme,0,0,0,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,SleepingDogs_25x16_Extreme,0,0,0,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,SleepingDogs_25x16_FXAA_SSAA_Extreme,0,0,0,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,thief_veryhigh_3840x2160x32,0,0,0,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,3dm11_32bit_12x7_dx11_gt3_perf,0,0,0,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Grid2_38x21,0,0,0,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Rome2_19x10_AA_Extreme,0,0,0,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Rome2_25x14_AA_Extreme,0,0,0,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,SleepingDogs_25x16_Extreme,0,0,0,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,SleepingDogs_25x16_FXAA_SSAA_Extreme,0,0,0,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,thief_veryhigh_3840x2160x32,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,3dm11_32bit_12x7_dx11_gt3_perf,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Grid2_38x21,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Rome2_19x10_AA_Extreme,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Rome2_25x14_AA_Extreme,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_Extreme,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_FXAA_SSAA_Extreme,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,thief_veryhigh_3840x2160x32,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,3dm11_32bit_12x7_dx11_gt3_perf,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Grid2_38x21,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Rome2_19x10_AA_Extreme,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,Rome2_25x14_AA_Extreme,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_Extreme,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_FXAA_SSAA_Extreme,0,0,0,0,0,0,0,0,0
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,thief_veryhigh_3840x2160x32,0,0,0,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,3dm11_32bit_12x7_dx11_gt3_perf,0,0,0,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Grid2_38x21,0,0,0,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Rome2_19x10_AA_Extreme,0,0,0,0,0,0,0,0,0
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,Rome2_25x14_AA_Extreme,0,0,0,0,0,0,0,0,0
