Config, App, Score, Cycles, Mem Efficiency (%), 1# bottleneck, 2# bottleneck, 3# bottleneck, 4# bottleneck, 5# bottleneck, #1 IF Improv %[activity],#2 IF Improv %[activity],#3 IF Improv %[activity],#4 IF Improv %[activity],#5 IF Improv %[activity], Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,3dm11_32bit_12x7_dx11_gt3_perf,1,4847542775,73.6,PosBuf (15%),ALU (15%),ParamCache (12%),Primitive (10.9%),SPI (7.5%),PosBuf (3.8%),ALU (6.5%),ParamCache (2.4%),Primitive (3.1%),SPI (1.1%),94.28,85.08,105.31,4847.54,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Grid2_38x21,1,14956465945,66,PS GPR (36.3%),ALU (11.2%),TCP (11.1%),Interp (7%),Primitive (6.4%),PS GPR (10%),ALU (2.6%),TCP (0.9%),Interp (0.1%),Primitive (2.6%),84.96,58.08,27778.37,14956.47,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Rome2_19x10_AA_Extreme,1,12716260625,80.5,ALU (15.8%),PS GPR (15.2%),MCS (10.4%),TCP (9.8%),VS Wave (8.4%),ALU (3.3%),PS GPR (2.1%),MCS (2.9%),TCP (0.7%),VS Wave (4.4%),77.67,36.46,2084.04,12716.26,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Rome2_25x14_AA_Extreme,1,19204075715,78.3,ALU (18.2%),PS GPR (17.4%),MCS (12.9%),SHExport (8.3%),TCP (8.3%),ALU (3.9%),PS GPR (2.3%),MCS (2.9%),SHExport (0.4%),TCP (0.6%),52.11,23.19,1501.06,19204.08,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,SleepingDogs_25x16_Extreme,1,5932451089,79.4,ALU (29.5%),VS Wave (28%),Primitive (8.6%),SHExport (8.2%),MCS (7.2%),ALU (14.3%),VS Wave (17.3%),Primitive (3.8%),SHExport (0%),MCS (1.3%),92.21,66.17,158.46,5932.45,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,SleepingDogs_25x16_FXAA_SSAA_Extreme,1,16688160251,83,ALU (39.9%),SHExport (11.5%),Primitive (10.3%),MCS (10%),VS Wave (9.2%),ALU (19.7%),SHExport (0%),Primitive (4.8%),MCS (2%),VS Wave (5.6%),46.84,33.8,66.54,16688.16,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,thief_veryhigh_3840x2160x32,1,24750197508,69.7,ALU (19.4%),TCP (15.9%),MCS (13.9%),SHExport (11.4%),Primitive (11%),ALU (4.4%),TCP (1.4%),MCS (2.9%),SHExport (0.1%),Primitive (4.6%),40.64,34.89,54.3,24750.2,0,1000,1000,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,3dm11_32bit_12x7_dx11_gt3_perf,1.7391,4738582849,65.3,ALU (16.7%),PosBuf (14.4%),MCS (10.6%),Vertex (9.8%),SPI (7%),ALU (3.4%),PosBuf (3.8%),MCS (3.1%),Vertex (2.7%),SPI (1%),163.96,147.75,184.42,2787.4,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Grid2_38x21,1.5834,16057976678,62.5,PS GPR (38.4%),ALU (16.9%),TCP (11.9%),MCS (6.4%),Interp (6.3%),PS GPR (10.2%),ALU (4%),TCP (0.9%),MCS (1.9%),Interp (0.1%),134.53,93.87,43544.06,9445.87,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Rome2_19x10_AA_Extreme,1.7343,12465048588,54.7,ALU (21.5%),PS GPR (17.9%),TCP (13.4%),SHExport (10.9%),VS Wave (9.7%),ALU (4.1%),PS GPR (2.3%),TCP (1.2%),SHExport (0.6%),VS Wave (5.3%),134.71,59.93,3477.79,7332.38,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Rome2_25x14_AA_Extreme,1.7106,19085146632,76.4,ALU (25.7%),PS GPR (22.5%),SHExport (12.4%),TCP (11.8%),SX-DB (8.3%),ALU (5.4%),PS GPR (3.3%),SHExport (0.5%),TCP (1%),SX-DB (0.8%),89.14,38.21,2515.94,11226.56,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,SleepingDogs_25x16_Extreme,1.5827,6372116262,62.3,VS Wave (27.7%),ALU (26.1%),MCS (25.2%),DB (4.4%),SHExport (4.3%),VS Wave (17.7%),ALU (13.8%),MCS (7.6%),DB (1.6%),SHExport (0%),145.94,102.55,241.19,3748.3,0,1700,1700,0,0,0,0,0,0
