Config, App, Score, Cycles, % Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,Ave FPS, Min FPS, Max FPS, Time (ms), Ave Power (Watt), Ave Freq (MHz), Ave Shader Freq (MHz),TotDcallNum,ExTDPDcallNum,SNum,ONum,ASNum,AONum
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,3dm11_32bit_12x7_dx11_gt3_perf,1,4847542775,6.69%,7.48%,10.94%,0%,0.23%,0.23%,0%,0%,0%,0%,1.39%,6.83%,0.26%,0.03%,0%,3.6%,0%,0%,0%,0%,0%,0.02%,0%,4.41%,0%,7.01%,15.03%,11.97%,0%,0%,2.44%,0.1%,0%,0%,0%,0%,0%,3.77%,1.63%,0%,0%,0%,0%,15.03%,0%,0.91%,0%,0%,0%,0%,0%,94.28,85.08,105.31,4847.54,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Grid2_38x21,1,14956465945,0.17%,1.27%,6.36%,0.03%,0.33%,2.2%,0%,0%,0.01%,0%,11.06%,5.19%,1.14%,0.22%,0%,2.27%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.98%,0%,0.03%,0%,0%,36.31%,3.99%,0%,0%,2.8%,0%,0%,0%,1.85%,0%,0%,0%,0%,11.23%,0%,2.51%,0%,0%,0%,7.03%,0%,84.96,58.08,27778.37,14956.47,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Rome2_19x10_AA_Extreme,1,12716260625,1.17%,2.43%,8.22%,0%,0.04%,0.97%,0%,0%,0.36%,0%,9.78%,1.6%,0%,0%,0%,10.44%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8.39%,3.45%,2.23%,0%,0%,15.16%,1.24%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,15.79%,0%,8.07%,0%,7.14%,0%,3.51%,0%,77.67,36.46,2084.04,12716.26,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,Rome2_25x14_AA_Extreme,1,19204075715,0.74%,5.9%,6.65%,0%,0.04%,0.89%,0%,0%,0.25%,0%,8.29%,1.72%,0%,0%,0%,12.92%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5.35%,2.91%,1.36%,0%,0%,17.44%,0.68%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,18.2%,0%,8.34%,0%,8.29%,0%,0%,0%,52.11,23.19,1501.06,19204.08,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,SleepingDogs_25x16_Extreme,1,5932451089,0.34%,3.26%,8.65%,0%,0.07%,4%,0%,0%,0%,0%,3.63%,1.84%,0.22%,0%,0%,7.19%,0%,0%,0%,0%,0%,0%,0%,0%,0%,28%,0.85%,0.08%,0%,0%,0.04%,2.92%,0%,0%,0.8%,0%,0%,0.42%,0%,0%,0%,0%,0%,29.46%,0%,8.25%,0%,0%,0%,0%,0%,92.21,66.17,158.46,5932.45,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,SleepingDogs_25x16_FXAA_SSAA_Extreme,1,16688160251,0.12%,2.76%,10.3%,0%,0.06%,5.73%,0%,0%,0%,0%,3.01%,4.7%,0.15%,0%,0%,9.97%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.18%,0.3%,0.03%,0%,0%,0%,0.92%,0%,0%,1.42%,0%,0%,0%,0%,0%,0%,0%,0%,39.88%,0%,11.46%,0%,0.02%,0%,0%,0%,46.84,33.8,66.54,16688.16,0,1000,1000,0,0,0,0,0,0
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,thief_veryhigh_3840x2160x32,1,24750197508,0.49%,7.75%,11%,0.01%,0.86%,5.13%,0%,0%,0%,0%,15.92%,3.45%,0.91%,0%,0%,13.93%,0%,0%,0%,0%,0%,0.33%,0%,0.31%,0%,1.68%,0.02%,0.32%,0%,0%,3.59%,3.12%,0%,0%,0%,0%,0.08%,0%,0%,0%,0%,0%,0%,19.41%,0%,11.41%,0%,0%,0%,0.29%,0%,40.64,34.89,54.3,24750.2,0,1000,1000,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,3dm11_32bit_12x7_dx11_gt3_perf,1.7391,4738582849,9.84%,6.98%,6.76%,0%,0.16%,0.23%,0%,0%,0%,0%,4%,0.64%,3.79%,0%,0%,10.59%,0%,0%,0%,0%,0%,0.04%,0%,5.42%,0%,6.36%,14.44%,0%,0%,0%,2.84%,0.09%,0%,0%,0%,0%,0%,3.86%,1.06%,0%,0%,0%,0%,16.69%,0%,6.2%,0%,0%,0%,0%,0%,163.96,147.75,184.42,2787.4,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Grid2_38x21,1.5834,16057976678,0.2%,1.19%,1.39%,0.08%,0.13%,1.55%,0%,0%,0.01%,0%,11.89%,0.81%,1.41%,0%,0%,6.41%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3.35%,0%,0%,0%,0%,38.43%,4.07%,0%,0%,2.98%,0%,0%,0%,1.72%,0%,0%,0%,0%,16.92%,0%,1.21%,0%,0%,0%,6.27%,0%,134.53,93.87,43544.06,9445.87,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Rome2_19x10_AA_Extreme,1.7343,12465048588,1.49%,2.14%,1.39%,0.01%,0.04%,1.26%,0%,0%,0.42%,0%,13.44%,0.01%,1.12%,0%,0%,6.76%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.66%,0.46%,1.33%,0%,0%,17.87%,1.21%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,21.48%,0%,10.88%,0%,7.28%,0%,1.75%,0%,134.71,59.93,3477.79,7332.38,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,Rome2_25x14_AA_Extreme,1.7106,19085146632,0.98%,3.82%,0.94%,0%,0.04%,1.22%,0%,0%,0.28%,0%,11.8%,0.01%,0.35%,0%,0%,3.67%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6.14%,0.4%,0.8%,0%,0%,22.45%,0.69%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25.69%,0%,12.38%,0%,8.34%,0%,0.01%,0%,89.14,38.21,2515.94,11226.56,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,SleepingDogs_25x16_Extreme,1.5827,6372116262,0.35%,2.46%,0.04%,0%,0.01%,4.36%,0%,0%,0%,0%,4.05%,1.14%,0.15%,0%,0%,25.21%,0%,0%,0%,0%,0%,0%,0%,0%,0%,27.67%,0.78%,0%,0%,0%,0.04%,2.72%,0%,0%,0%,0%,0%,0.62%,0%,0%,0%,0%,0%,26.08%,0%,4.31%,0%,0%,0%,0%,0%,145.94,102.55,241.19,3748.3,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,SleepingDogs_25x16_FXAA_SSAA_Extreme,1.5483,18323789573,0.12%,1.77%,0.01%,0%,0.03%,8.45%,0%,0%,0%,0%,2.83%,1.95%,0.01%,0%,0%,34.28%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9.23%,0.27%,0%,0%,0%,0%,0.84%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,34.25%,0%,5.95%,0%,0.01%,0%,0%,0%,72.52,50.07,99.44,10778.7,0,1700,1700,0,0,0,0,0,0
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,thief_veryhigh_3840x2160x32,1.5197,27685819401,0.43%,5.91%,0.87%,0.02%,0%,4.54%,0%,0%,0%,0%,14.71%,0.08%,2.37%,0%,0%,46.71%,0%,0%,0%,0%,0%,0.28%,0%,0.27%,0%,1.07%,0.09%,0%,0%,0%,3.6%,2.5%,0%,0%,0%,0%,0.04%,0%,0%,0%,0%,0%,0%,10.85%,0%,5.49%,0%,0%,0%,0.17%,0%,61.77,53.58,89.34,16285.78,0,1700,1700,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,3dm11_32bit_12x7_dx11_gt3_perf,0.4222,13778689519,5.07%,0.37%,1.68%,0%,7.99%,2.8%,0%,0%,0%,0%,2.34%,10.4%,0.19%,0%,0%,27.64%,0%,0%,0%,0%,0%,0%,0%,1.16%,0%,1.18%,5.34%,0%,0%,0%,3.49%,0.04%,0%,0%,0.33%,0%,0.12%,1.4%,0%,0%,0%,0%,0%,24.43%,0%,0.59%,0%,0.45%,2.96%,0%,0%,39.8,36.36,45.18,11482.24,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Grid2_38x21,0.3269,54906242811,0.11%,0.05%,0.57%,0.17%,2.27%,2.8%,0%,0%,0.01%,0%,13.81%,7.29%,0.27%,0%,0%,9.04%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.54%,0%,0%,0%,0%,42.34%,0.94%,0%,0%,3.05%,0.09%,0%,0%,0%,0%,0%,0%,0%,14.27%,0%,0%,0%,0.34%,0.09%,1.95%,0%,27.77,19.18,13498.42,45755.2,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Rome2_19x10_AA_Extreme,0.3499,43605260086,0.53%,0.76%,0.77%,0.02%,5.08%,1.92%,0%,0%,0.46%,0%,13.21%,1.6%,0%,0%,0%,26.31%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.97%,0.75%,0.04%,0%,0%,17.15%,0.23%,0%,0%,0%,0%,0.22%,0%,0%,0%,0%,0%,0%,19.41%,0%,0.3%,0%,8.88%,0%,0.37%,0%,27.18,11.56,1236.3,36337.72,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,Rome2_25x14_AA_Extreme,0.3368,68424015092,0.35%,1.26%,0.51%,0.03%,6.96%,1.96%,0%,0%,0.38%,0%,10.82%,1.48%,0%,0%,0%,22.46%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.2%,0.37%,0.03%,0%,0%,18.76%,0.14%,0%,0%,0%,0%,0.09%,0%,0%,0%,0%,0%,0%,23.01%,0%,0.18%,0%,10.02%,0%,0%,0%,17.55,7.35,1045.72,57020.01,0,1200,1200,0,0,0,0,0,0
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,SleepingDogs_25x16_Extreme,0.3653,19486060746,0.19%,0%,0.02%,0%,3.91%,8.94%,0%,0%,0%,0%,4.44%,1.81%,0.17%,0%,0%,42.16%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5.61%,1.82%,0.03%,0%,0%,0.07%,1.06%,0%,0%,0%,0%,0.04%,0.52%,0%,0%,0%,0%,0%,28.56%,0%,0%,0%,0.56%,0.1%,0%,0%,33.69,22.66,49.83,16238.38,0,1200,1200,0,0,0,0,0,0
