Config,3dm11_32bit_12x7_dx11_gt3_perf,Grid2_38x21,Rome2_19x10_AA_Extreme,Rome2_25x14_AA_Extreme,SleepingDogs_25x16_Extreme,SleepingDogs_25x16_FXAA_SSAA_Extreme,thief_veryhigh_3840x2160x32
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,1,1,1,1,1,1,1
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,1.7391,1.5834,1.7343,1.7106,1.5827,1.5483,1.5197
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,0.4222,0.3269,0.3499,0.3368,0.3653,0.3112,0.2844
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,0.4698,0.3762,0.3919,0.3799,0.3978,0.3421,0.3083
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.3726,1.1474,1.2414,1.178,1.2427,1.1341,1.0865
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.3894,1.1521,1.3561,1.3315,1.2518,1.1555,1.0977
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.4038,1.1554,1.3865,1.3279,1.2605,1.166,1.1207
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.427,1.1609,1.3939,1.3401,1.2697,1.1764,1.1623
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.4493,1.1687,1.396,1.3421,1.2957,1.185,1.1929
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.7088,0.5817,0.6653,0.6468,0.6717,0.5849,0.5443
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-2048K-2PreCull-2PostCull-BC,0.7117,0.5822,0.6396,0.5999,0.682,0.5828,0.547
