Config, Score for All Resolutions, Min Score, Max Score, Cycles, Mem Efficiency (%), #1 bottleneck, #2 bottleneck, #3 bottleneck, #4 bottleneck, #5 bottleneck,#1 IF Improv % [activity], #2 IF Improv % [activity], #3 IF Improv % [activity], #4 IF Improv % [activity], #5 IF Improv % [activity],Ave FPS, Min FPS, Max FPS, Time (ms), Min App, Max App
Fiji-4096b-1m-1000e-4P-64CU-16RB-DCC-HBM-2048K,1,1,1,99095153910.9267,75.9,ALU (21.3%),PS GPR (10.7%),VS Wave (9.1%),Primitive (8.9%),MCS (8.6%),ALU (7.8%) [100.0],PS GPR (2.3%) [NaN],VS Wave (5.2%) [27.6],Primitive (3.6%) [28.6],MCS (1.9%) [83.7],74.52,25.26,32812.24,99095.15,3dm11_32bit_12x7_dx11_gt3_perf,3dm11_32bit_12x7_dx11_gt3_perf
Vega10-2048b-2m-1700e-4P-56CU-16RB-DCC-PBB-HBM-4096K,1.6311,1.519743,1.73909,104728479986.013,62.6,ALU (21.7%),MCS (19.1%),PS GPR (12.2%),VS Wave (9.1%),TCP (9%),ALU (7.3%) [100.0],MCS (5.4%) [98.5],PS GPR (2.5%) [NaN],VS Wave (5.4%) [23.6],TCP (0.7%) [88.4],119.88,41.62,51434.91,61604.99,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
RacerX-128b-8m-1200e-2P-16CU-4RB-DCC-1024K,0.3424,0.2844335,0.4221774,368970993050.117,57.3,MCS (31.8%),ALU (21.7%),PS GPR (12.2%),TCP (8.6%),CB (6.2%),MCS (9.6%) [100.0],ALU (7.4%) [84.8],PS GPR (2.6%) [NaN],TCP (0.6%) [75.3],CB (0.2%) [46.5],24.02,8.01,15944.54,307475.83,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
RacerX-128b-8m-1400e-2P-16CU-4RB-DCC-1024K,0.3809,0.3083235,0.4698155,387868499790.822,57.7,MCS (41.4%),ALU (18.5%),PS GPR (11.8%),TCP (7.2%),CB (4.2%),MCS (13.7%) [100.0],ALU (6.4%) [74.2],PS GPR (2.5%) [NaN],TCP (0.5%) [65.9],CB (0.2%) [40.7],26.66,9.31,17196.11,277048.94,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-2048K-4PreCull-4PostCull-BC,1.2004,1.086524,1.372619,153685781899.732,55.8,MCS (28%),ALU (18.7%),SPI (13.9%),PS GPR (10.9%),TCP (8.3%),MCS (9.6%) [100.0],ALU (5.6%) [83.2],SPI (4.6%) [65.3],PS GPR (2.2%) [NaN],TCP (0.6%) [70.7],86.49,30.67,45222.45,85380.99,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-4096K-4PreCull-4PostCull-BC,1.2477,1.097716,1.389356,147600867655.504,52.1,ALU (21.1%),MCS (19.7%),SPI (15.8%),PS GPR (12.2%),TCP (9.2%),ALU (6.2%) [98.8],MCS (6.1%) [100.0],SPI (5.6%) [77.6],PS GPR (2.4%) [NaN],TCP (0.7%) [84.1],90.06,31.16,46484.75,82000.48,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-8192K-4PreCull-4PostCull-BC,1.2601,1.120702,1.403788,146042671583.152,48,ALU (21.6%),MCS (17.9%),SPI (16.2%),PS GPR (12.1%),TCP (9.5%),ALU (6.5%) [100.0],MCS (5.2%) [97.1],SPI (5.8%) [78.5],PS GPR (2.4%) [NaN],TCP (0.7%) [85.1],91.02,31.17,47548.31,81134.82,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-16384K-4PreCull-4PostCull-BC,1.2758,1.160908,1.42699,143793152895.161,45.9,ALU (22.6%),SPI (17.1%),MCS (13%),PS GPR (12.6%),TCP (9.9%),ALU (7.1%) [100.0],SPI (6.3%) [78.5],MCS (4%) [86.8],PS GPR (2.5%) [NaN],TCP (0.7%) [85.1],92.45,31.21,49428.55,79885.08,Grid2_38x21,3dm11_32bit_12x7_dx11_gt3_perf
Navi10-256b-14m-1800e-2SE4SA-40CU-16RB-16TCC-8MC-DCC-PBB-32768K-4PreCull-4PostCull-BC,1.29,1.168718,1.449313,142145096987.702,42.8,ALU (23%),SPI (17.7%),PS GPR (12.7%),TCP (10.3%),MCS (10.3%),ALU (7.5%) [100.0],SPI (6.8%) [78.5],PS GPR (2.6%) [NaN],TCP (0.8%) [85.1],MCS (2.9%) [76.6],93.52,31.22,52508.27,78969.5,Grid2_38x21,3dm11_32bit_12x7_dx11_gt3_perf
Navi11-128b-14m-1800e-1SE2SA-20CU-8RB-8TCC-4MC-DCC-PBB-1024K-2PreCull-2PostCull-BC,0.6291,0.5443453,0.7088184,295535442509.359,55.1,MCS (27.1%),ALU (19.9%),SPI (15.3%),PS GPR (11.8%),TCP (8.7%),MCS (9.1%) [100.0],ALU (6%) [88.1],SPI (5%) [69.2],PS GPR (2.4%) [NaN],TCP (0.6%) [75.0],44.98,15.5,31079.34,164186.36,thief_veryhigh_3840x2160x32,3dm11_32bit_12x7_dx11_gt3_perf
