Predicted
App, Config, Score_perDraw, Score_perCB|Score_Bottleneck, PredDrawCycles,LoggedDrawCycles,LoggedCMBCycles,TTPredCMBCycles,Predicted_cycles, Logged_cycles, ABS_Error_cycles, Score_perCB_method0, Score_perCB_method1,PerCB_measured_Ave_FPS,PerDraw Average FPS, PerDraw Min FPS, PerDraw Max FPS, perDraw Total Time (ms),PerCB Average FPS, PerCB Min FPS, PerCB Max FPS, perCB Total Time (ms),perDraw_6frames average fps, perCB_6frames average fps,1# Bottleneck,1# %, 2# Bottleneck, 2# %, 3# Bottleneck,3# %, 4# Bottleneck,4# %, 5# Bottleneck, 5# %,#1, #1 IF Improv %[activity],#2, #2 IF Improv %[activity],#3, #3 IF Improv %[activity],#4, #4 IF Improv %[activity],#5,#5 IF Improv %[activity],Detailed Bottleneck:,1# Bottleneck,1# %, 2# Bottleneck, 2# %, 3# Bottleneck,3# %, 4# Bottleneck,4# %, 5# Bottleneck, 5# %,Diff(perDraw-perCB),FirstVSWave, VSWave_FirstVSWave,Detailed Block Cycles (%):,% Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,
dirtrally_ultra_dx11_r1920x1080,Tonga,1,1|1,17039509206,28218571887,21847866529,0,17039509206,28218571887,11231217689,1,1|1,91.5421,117.3743,82.83,254.51,17039.51,148.43,0,0,13474.48,0,0,ALU,18.8,MCS,13.2,TCP,12.3,CB,9.3,DB,8.7,ALU,-70,MCS,-83.6,TCP,-86.9,CB,-89.7,DB,-91,,ALU,18.8,MCS,13.2,TCP,12.3,CB,9.3,DB,8.7,13,0,0,0.14,0.01,5.28,0.16,9.33,8.68,0,0,0,3.76,12.29,2.81,0,0,0,13.19,0,0,0,0,0,0.14,0,0.08,0,2.29,0.27,2.35,0,0,6.95,1.68,0,0,0,0.01,0,0,0.22,0,0,0,0,18.79,0,0,0,2.35,7.39,1.81,0,
dirtrally_ultra_dx11_r1920x1080,TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,0.9323,0.9159|0.9323,NA,NA,NA,NA,19190223682,28218571887,NA,0.8961,0.9159|0.9323,83.8455,109.4307,76.65,246.71,18276.4,135.95,0,0,14711.38,0,0,SPI,15.8,ALU,14.7,TCP,11.3,MCS,9.1,Interp,7.4,SPI,-81.6,ALU,-75.8,TCP,-88,MCS,-88.6,Interp,-89.4,,SPI,15.8,ALU,14.7,TCP,11.3,MCS,9.1,Interp,7.4,14,0,0,0.7,15.77,5.52,0.11,6.79,3.18,0,0,0,3.33,11.34,2.49,0,0,0,9.12,0,0,0,0,0,0.14,0,0.06,0,2.05,1.74,5.28,0,0,6.11,1.66,0,0,0,0.01,0,0,0.2,0,0,0,0,14.68,0,0,0,1.65,0,7.43,0.64,


Measured
Config_name,App_name,Total_frame,Total_Cb,Total_Draw,Total_gui_draw_time,Total_gui_cb_time,Measured_score_perDraw,Measured_score_perCB,Diff(gui_draw-gui_cb),Frame1_Score_perDraw,Frame1_Score_perCB
Tonga,dirtrally_ultra_dx11_r1920x1080,2001,7276,1854527,28255129104,21881241445,1.0,1.0,6373887659,1.0,1.0
TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,dirtrally_ultra_dx11_r1920x1080,2001,0,0,0,0,0,,0,,0,0,,0,,


dirtrally_ultra_dx11_r1920x1080,Tonga
Bottleneck Name,Predicted time, Logged time, Diff(Logged-Predicted),Raitio(Predicted/Logged)
Vertex,24438422,130318886,105880464,0.19
SPI,2383790,3662540,1278750,0.65
Primitive,899206525,2133631657,1234425132,0.42
Tile,27090351,67081866,39991515,0.4
CB,1589796618,2107490436,517693818,0.75
DB,1479360681,1982147617,502786936,0.75
TD,639945364,749846431,109901067,0.85
TCP,2093701769,2453836993,360135224,0.85
TCC-TCP BW,478914252,623180855,144266603,0.77
TCC,771113,3059273,2288160,0.25
MCS,2247933912,3604561523,1356627611,0.62
LS Wave,23273087,72690640,49417553,0.32
HS Wave,14120788,81207448,67086660,0.17
VS Wave,389371571,3327623456,2938251885,0.12
PosBuf,46657419,100949431,54292012,0.46
ParamCache,399920266,618027059,218106793,0.65
PS GPR,1184218874,1475276406,291057532,0.8
PS Wave,286963730,1760944066,1473980336,0.16
PS DBTileFIFO,2394906,5534844,3139938,0.43
CS GPR,106677,216097,109420,0.49
CS Wave,37935366,47273428,9338062,0.8
ALU,3200880184,4249359968,1048479784,0.75
SHExport,587012,4962008,4374996,0.12
SX-DB,401081542,579639451,178557909,0.69
Baryc,1259264353,1474837611,215573258,0.85
Interp,309190223,561211897,252021674,0.55


dirtrally_ultra_dx11_r1920x1080,TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K
Bottleneck Name,Predicted time, Logged time, Diff(Logged-Predicted),Raitio(Predicted/Logged)
Vertex,134395059,367103410,232708351,0.37
SPI,3026763031,3037518014,10754983,1
Primitive,1058629193,2164652613,1106023420,0.49
Tile,21457096,53150901,31693805,0.4
CB,1302693878,1747163113,444469235,0.75
DB,609517735,861023954,251506219,0.71
TD,639945400,749846431,109901031,0.85
TCP,2176965796,2525624610,348658814,0.86
TCC-TCP BW,478525869,616930187,138404318,0.78
TCC,563756,663579,99823,0.85
MCS,1749256477,2673148693,923892216,0.65
LS Wave,26873764,73480679,46606915,0.37
HS Wave,12277348,57765964,45488616,0.21
VS Wave,393919727,3025271014,2631351287,0.13
PosBuf,333314405,451333299,118018894,0.74
ParamCache,1013751825,890043590,-123708235,1.14
PS GPR,1171912299,1464439489,292527190,0.8
PS Wave,318084754,1766339905,1448255151,0.18
PS DBTileFIFO,1362229,3096394,1734165,0.44
CS GPR,149348,216097,66749,0.69
CS Wave,37935368,47273428,9338060,0.8
ALU,2816980967,3512540785,695559818,0.8
SX-DB,316680539,409107535,92426996,0.77
Interp,1426216611,1556263456,130046845,0.92
PaScFifo,122051202,164574747,42523545,0.74


