Bottleneck, Draws, Cycles, Error cycles, % error cycles, Rel error %, +ve error rate%, +ve cycles, +ve draws, -ve error rate%, -ve cycles, -ve draws, % of total error
Vertex,27747,1.313369E+08,1.068197E+08,81.33,-81.33,0,0,0,-81.33,1.313369E+08,27747,0.94,
SPI,79,3750315,1366526,36.44,-36.44,0,0,0,-36.44,3750315,79,0.01,
Primitive,312002,2.119047E+09,1.223302E+09,57.73,-57.72,7.06,626629,5,-57.74,2.11842E+09,311997,10.78,
Tile,4615,6.836856E+07,4.089184E+07,59.81,-59.81,0,0,0,-59.81,6.836856E+07,4615,0.36,
CB,60619,1.751405E+09,4.739321E+08,27.06,-27.06,0,0,0,-27.06,1.751405E+09,60619,4.18,
DB,77276,2.116983E+09,5.282558E+08,24.95,-24.95,0,0,0,-24.95,2.116983E+09,77276,4.65,
TD,872,7.50062E+08,1.113739E+08,14.85,-14.85,0,0,0,-14.85,7.50062E+08,872,0.98,
TCP,48361,2.70576E+09,4.691187E+08,17.34,-15.79,6.66,3.138346E+08,2000,-18.74,2.391925E+09,46361,4.13,
TCC-TCP BW,38674,6.891414E+08,1.863723E+08,27.04,-25.76,34.18,1.295856E+07,1015,-26.91,6.761828E+08,37659,1.64,
TCC,441,2985954,2667592,89.34,-89.34,0,0,0,-89.34,2985954,441,0.02,
MCS,189259,3.201379E+09,1.325856E+09,41.42,-41.42,0,1.584239E+07,409,-41.62,3.185537E+09,188850,11.68,
LS Wave,4424,7.174104E+07,4.865203E+07,67.82,-67.82,0,0,0,-67.82,7.174104E+07,4424,0.43,
HS Wave,7380,8.04995E+07,6.662926E+07,82.77,-82.77,0,0,0,-82.77,8.04995E+07,7380,0.59,
VS Wave,717248,3.356264E+09,2.966198E+09,88.38,-88.38,0,0,0,-88.38,3.356264E+09,717248,26.14,
PosBuf,2265,1.02895E+08,5.553661E+07,53.97,-53.97,0,0,0,-53.97,1.02895E+08,2265,0.49,
ParamCache,8345,6.157793E+08,2.18075E+08,35.41,-35.41,0,0,0,-35.41,6.157793E+08,8345,1.92,
PS GPR,17028,1.494077E+09,2.960577E+08,19.82,-19.81,66.67,32259,2,-19.81,1.494044E+09,17026,2.61,
PS Wave,150091,1.755732E+09,1.469973E+09,83.72,-83.72,13.2,65287,5,-83.73,1.755667E+09,150086,12.95,
PS DBTileFIFO,337,5620224,3148204,56.02,-56.02,0,0,0,-56.02,5620224,337,0.03,
CS GPR,4,216679,108757,50.19,-50.19,0,0,0,-50.19,216679,4,0,
CS Wave,17936,4.691295E+07,9503800,20.26,-19.82,29.54,345670,207,-20.19,4.656728E+07,17729,0.08,
ALU,102227,4.295306E+09,1.090266E+09,25.38,-25.38,0,0,0,-25.38,4.295306E+09,102227,9.61,
SHExport,1435,4815932,4252233,88.3,-88.3,0,0,0,-88.3,4815932,1435,0.04,
SX-DB,13988,5.963808E+08,1.822865E+08,30.57,-30.57,0,0,0,-30.57,5.963808E+08,13988,1.61,
Baryc,15308,1.468511E+09,2.155044E+08,14.68,-14.68,0,0,0,-14.68,1.468511E+09,15308,1.9,
Interp,25909,5.631717E+08,2.532116E+08,44.96,-44.96,0,0,0,-44.96,5.631717E+08,25909,2.23,
SUM =,1843870,2.799814E+10,1.134936E+10,40.54,-40.35,7.42,3.437053E+08,3643,-40.95,2.765443E+10,1840227,100,
