Predicted
App, Config, Score_perDraw, Score_perCB|Score_Bottleneck, PredDrawCycles,LoggedDrawCycles,LoggedCMBCycles,TTPredCMBCycles,Predicted_cycles, Logged_cycles, ABS_Error_cycles, Score_perCB_method0, Score_perCB_method1,PerCB_measured_Ave_FPS,PerDraw Average FPS, PerDraw Min FPS, PerDraw Max FPS, perDraw Total Time (ms),PerCB Average FPS, PerCB Min FPS, PerCB Max FPS, perCB Total Time (ms),perDraw_6frames average fps, perCB_6frames average fps,1# Bottleneck,1# %, 2# Bottleneck, 2# %, 3# Bottleneck,3# %, 4# Bottleneck,4# %, 5# Bottleneck, 5# %,#1, #1 IF Improv %[activity],#2, #2 IF Improv %[activity],#3, #3 IF Improv %[activity],#4, #4 IF Improv %[activity],#5,#5 IF Improv %[activity],Detailed Bottleneck:,1# Bottleneck,1# %, 2# Bottleneck, 2# %, 3# Bottleneck,3# %, 4# Bottleneck,4# %, 5# Bottleneck, 5# %,Diff(perDraw-perCB),FirstVSWave, VSWave_FirstVSWave,Detailed Block Cycles (%):,% Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,
dirtrally_ultra_dx11_r1920x1080,Tonga,1,1|1,16699790648,27998141662,21653538112,0,16699790648,27998141662,11349360032,1,1|1,92.3637,119.762,84.27,269.09,16699.79,151.66,0,0,13187.41,0,0,ALU,19.2,TCP,13.6,MCS,11.2,DB,9.5,CB,7.6,ALU,-69.2,TCP,-85.6,MCS,-86,DB,-90.2,CB,-92.3,,ALU,19.2,TCP,13.6,MCS,11.2,DB,9.5,CB,7.6,13,0,0,0.15,0.01,5.36,0.16,7.65,9.51,0,0,0,3.82,13.64,3.06,0,0,0,11.23,0,0,0,0,0,0.14,0,0.08,0,2.34,0.28,2.38,0,0,7.17,1.71,0,0,0,0.01,0,0,0.23,0,0,0,0,19.19,0,0,0,2.48,7.5,1.86,0,
dirtrally_ultra_dx11_r1920x1080,TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,1,1|1,NA,NA,NA,NA,16699790648,27998141662,NA,1,1|1,92.3637,119.762,84.27,269.09,16699.79,151.66,0,0,13187.41,0,0,ALU,19.2,TCP,13.6,MCS,11.2,DB,9.5,CB,7.6,ALU,-69.2,TCP,-85.6,MCS,-86,DB,-90.2,CB,-92.3,,ALU,19.2,TCP,13.6,MCS,11.2,DB,9.5,CB,7.6,13,0,0,0.15,0.01,5.36,0.16,7.65,9.51,0,0,0,3.82,13.64,3.06,0,0,0,11.23,0,0,0,0,0,0.14,0,0.08,0,2.34,0.28,2.38,0,0,7.17,1.71,0,0,0,0.01,0,0,0.23,0,0,0,0,19.19,0,0,0,2.48,7.5,1.86,0,


Measured
Config_name,App_name,Total_frame,Total_Cb,Total_Draw,Total_gui_draw_time,Total_gui_cb_time,Measured_score_perDraw,Measured_score_perCB,Diff(gui_draw-gui_cb),Frame1_Score_perDraw,Frame1_Score_perCB
Tonga,dirtrally_ultra_dx11_r1920x1080,2001,7150,1846120,28034641821,21686641483,1.0,1.0,6348000338,1.0,1.0
TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K,dirtrally_ultra_dx11_r1920x1080,2001,0,0,0,0,0,,0,,0,0,,0,,


dirtrally_ultra_dx11_r1920x1080,Tonga
Bottleneck Name,Predicted time, Logged time, Diff(Logged-Predicted),Raitio(Predicted/Logged)
Vertex,24517205,131336909,106819704,0.19
SPI,2383790,3750315,1366525,0.64
Primitive,895832679,2119046555,1223213876,0.42
Tile,27476723,68368559,40891836,0.4
CB,1277473255,1751405388,473932133,0.73
DB,1588727082,2116982889,528255807,0.75
TD,638688124,750062044,111373920,0.85
TCP,2278439765,2705759820,427320055,0.84
TCC-TCP BW,511626514,689141347,177514833,0.74
TCC,318362,2985954,2667592,0.11
MCS,1875523153,3201379224,1325856071,0.59
LS Wave,23089004,71741038,48652034,0.32
HS Wave,13870244,80499505,66629261,0.17
VS Wave,390065668,3356263706,2966198038,0.12
PosBuf,47358432,102895043,55536611,0.46
ParamCache,397704219,615779259,218075040,0.65
PS GPR,1198061789,1494076536,296014747,0.8
PS Wave,285776336,1755732312,1469955976,0.16
PS DBTileFIFO,2472020,5620224,3148204,0.44
CS GPR,107922,216679,108757,0.5
CS Wave,37613372,46912953,9299581,0.8
ALU,3205040240,4295306273,1090266033,0.75
SHExport,563699,4815932,4252233,0.12
SX-DB,414094324,596380796,182286472,0.69
Baryc,1253006287,1468510721,215504434,0.85
Interp,309960031,563171681,253211650,0.55


dirtrally_ultra_dx11_r1920x1080,TongaXT-384b-5.5m-1000e-4P-32CU-8RB-DCC-768K
Bottleneck Name,Predicted time, Logged time, Diff(Logged-Predicted),Raitio(Predicted/Logged)
Vertex,24517205,131336909,106819704,0.19
SPI,2383790,3750315,1366525,0.64
Primitive,895832679,2119046555,1223213876,0.42
Tile,27476723,68368559,40891836,0.4
CB,1277473255,1751405388,473932133,0.73
DB,1588727082,2116982889,528255807,0.75
TD,638688124,750062044,111373920,0.85
TCP,2278439765,2705759820,427320055,0.84
TCC-TCP BW,511626514,689141347,177514833,0.74
TCC,318362,2985954,2667592,0.11
MCS,1875523153,3201379224,1325856071,0.59
LS Wave,23089004,71741038,48652034,0.32
HS Wave,13870244,80499505,66629261,0.17
VS Wave,390065668,3356263706,2966198038,0.12
PosBuf,47358432,102895043,55536611,0.46
ParamCache,397704219,615779259,218075040,0.65
PS GPR,1198061789,1494076536,296014747,0.8
PS Wave,285776336,1755732312,1469955976,0.16
PS DBTileFIFO,2472020,5620224,3148204,0.44
CS GPR,107922,216679,108757,0.5
CS Wave,37613372,46912953,9299581,0.8
ALU,3205040240,4295306273,1090266033,0.75
SHExport,563699,4815932,4252233,0.12
SX-DB,414094324,596380796,182286472,0.69
Baryc,1253006287,1468510721,215504434,0.85
Interp,309960031,563171681,253211650,0.55


