Predicted
App, Config, Score_perDraw, Score_perCB|Score_Bottleneck, PredDrawCycles,LoggedDrawCycles,LoggedCMBCycles,TTPredCMBCycles,Predicted_cycles, Logged_cycles, ABS_Error_cycles, Score_perCB_method0, Score_perCB_method1,PerCB_measured_Ave_FPS,PerDraw Average FPS, PerDraw Min FPS, PerDraw Max FPS, perDraw Total Time (ms),PerCB Average FPS, PerCB Min FPS, PerCB Max FPS, perCB Total Time (ms),perDraw_6frames average fps, perCB_6frames average fps,1# Bottleneck,1# %, 2# Bottleneck, 2# %, 3# Bottleneck,3# %, 4# Bottleneck,4# %, 5# Bottleneck, 5# %,#1, #1 IF Improv %[activity],#2, #2 IF Improv %[activity],#3, #3 IF Improv %[activity],#4, #4 IF Improv %[activity],#5,#5 IF Improv %[activity],Detailed Bottleneck:,1# Bottleneck,1# %, 2# Bottleneck, 2# %, 3# Bottleneck,3# %, 4# Bottleneck,4# %, 5# Bottleneck, 5# %,Diff(perDraw-perCB),FirstVSWave, VSWave_FirstVSWave,Detailed Block Cycles (%):,% Vertex,% SPI,% Primitive,% Tile,% CB,% DB,% RB Read,% RB Write,% TA,% TD,% TCP,% TCC-TCP BW,% TCC,% TCC-MEM BW,% MC,% MCS,% ES GPR,% ES Wave,% GS GPR,% GS Wave,% LS GPR,% LS Wave,% HS GPR,% HS Wave,% VS GPR,% VS Wave,% PosBuf,% ParamCache,% AS GPR,% AS Wave,% PS GPR,% PS Wave,% DBLQuadFifo,% PS LDS,% LDS,% PS DBTileFIFO,% PS DBMRTTileFIFO,% CS GPR,% CS Wave,% PrimShader GPR,% PrimShader Wave,% PrimShader_ParamCache,% PrimShader_PosBuf,% ALU,% SFU,% SHExport,% MEM_INST,% SX-DB,% Baryc,% Interp,% PaScFifo,
dirtrally_ultra_dx11_r1920x1080,Tonga,1,1|1,17039509206,28218571887,21847866529,0,17039509206,28218571887,11231217689,1,1|1,91.5421,117.3743,82.83,254.51,17039.51,148.43,0,0,13474.48,0,0,ALU,18.8,MCS,13.2,TCP,12.3,CB,9.3,DB,8.7,ALU,-70,MCS,-83.6,TCP,-86.9,CB,-89.7,DB,-91,,ALU,18.8,MCS,13.2,TCP,12.3,CB,9.3,DB,8.7,13,0,0,0.14,0.01,5.28,0.16,9.33,8.68,0,0,0,3.76,12.29,2.81,0,0,0,13.19,0,0,0,0,0,0.14,0,0.08,0,2.29,0.27,2.35,0,0,6.95,1.68,0,0,0,0.01,0,0,0.22,0,0,0,0,18.79,0,0,0,2.35,7.39,1.81,0,
dirtrally_ultra_dx11_r1920x1080,TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,0.9625,0.953|0.9625,NA,NA,NA,NA,18588707630,28218571887,NA,0.9414,0.953|0.9625,87.2428,112.9718,78.28,254.67,17703.53,141.46,0,0,14138.5,0,0,SPI,19.2,ALU,16.1,TCP,11.7,MCS,9.4,CB,7,SPI,-77.7,ALU,-73.9,TCP,-87.6,MCS,-88.2,CB,-92.1,,SPI,19.2,ALU,16.1,TCP,11.7,MCS,9.4,CB,7,14,0,0,0.72,19.21,5.7,0.12,7.01,3.29,0,0,0,3.44,11.71,2.57,0,0,0,9.43,0,0,0,0,0,0.14,0,0.07,0,2.13,1.8,5.45,0,0,6.36,1.75,0,0,0,0.01,0,0,0.2,0,0,0,0,16.07,0,0,0,1.7,0,0.44,0.66,


Measured
Config_name,App_name,Total_frame,Total_Cb,Total_Draw,Total_gui_draw_time,Total_gui_cb_time,Measured_score_perDraw,Measured_score_perCB,Diff(gui_draw-gui_cb),Frame1_Score_perDraw,Frame1_Score_perCB
Tonga,dirtrally_ultra_dx11_r1920x1080,2001,7276,1854527,28255129104,21881241445,1.0,1.0,6373887659,1.0,1.0
TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K,dirtrally_ultra_dx11_r1920x1080,2001,0,0,0,0,0,,0,,0,0,,0,,


dirtrally_ultra_dx11_r1920x1080,Tonga
Bottleneck Name,Predicted time, Logged time, Diff(Logged-Predicted),Raitio(Predicted/Logged)
Vertex,24438422,130318886,105880464,0.19
SPI,2383790,3662540,1278750,0.65
Primitive,899206525,2133631657,1234425132,0.42
Tile,27090351,67081866,39991515,0.4
CB,1589796618,2107490436,517693818,0.75
DB,1479360681,1982147617,502786936,0.75
TD,639945364,749846431,109901067,0.85
TCP,2093701769,2453836993,360135224,0.85
TCC-TCP BW,478914252,623180855,144266603,0.77
TCC,771113,3059273,2288160,0.25
MCS,2247933912,3604561523,1356627611,0.62
LS Wave,23273087,72690640,49417553,0.32
HS Wave,14120788,81207448,67086660,0.17
VS Wave,389371571,3327623456,2938251885,0.12
PosBuf,46657419,100949431,54292012,0.46
ParamCache,399920266,618027059,218106793,0.65
PS GPR,1184218874,1475276406,291057532,0.8
PS Wave,286963730,1760944066,1473980336,0.16
PS DBTileFIFO,2394906,5534844,3139938,0.43
CS GPR,106677,216097,109420,0.49
CS Wave,37935366,47273428,9338062,0.8
ALU,3200880184,4249359968,1048479784,0.75
SHExport,587012,4962008,4374996,0.12
SX-DB,401081542,579639451,178557909,0.69
Baryc,1259264353,1474837611,215573258,0.85
Interp,309190223,561211897,252021674,0.55


dirtrally_ultra_dx11_r1920x1080,TahitiXT2-384b-6m-1050e-2P-32CU-8RB-768K
Bottleneck Name,Predicted time, Logged time, Diff(Logged-Predicted),Raitio(Predicted/Logged)
Vertex,134677143,369066902,234389759,0.36
SPI,3571806535,3913678179,341871644,0.91
Primitive,1059052050,2167005980,1107953930,0.49
Tile,21482282,53239880,31757598,0.4
CB,1302787691,1747353291,444565600,0.75
DB,610832854,863006418,252173564,0.71
TD,639945400,749846431,109901031,0.85
TCP,2177011016,2525934735,348923719,0.86
TCC-TCP BW,478562213,617488658,138926445,0.78
TCC,599371,1110767,511396,0.54
MCS,1752951385,2691279725,938328340,0.65
LS Wave,26873764,73480679,46606915,0.37
HS Wave,12277348,57765964,45488616,0.21
VS Wave,395191286,3037700006,2642508720,0.13
PosBuf,334796921,454150492,119353571,0.74
ParamCache,1013751825,890043590,-123708235,1.14
PS GPR,1182540567,1508251297,325710730,0.78
PS Wave,325849142,1828080611,1502231469,0.18
PS DBTileFIFO,1362229,3096394,1734165,0.44
CS GPR,149348,216097,66749,0.69
CS Wave,37935368,47273428,9338060,0.8
ALU,2987255345,3872061561,884806216,0.77
SX-DB,316680539,409107535,92426996,0.77
Interp,82277308,173722351,91445043,0.47
PaScFifo,122058692,164610916,42552224,0.74


